零件名称,零件等级（ABC）,零件重量KG,单车用量,零件尺寸L,零件尺寸W,零件尺寸H,来料SNP,来料包装L,来料包装W,来料包装H,零件分类
全金属六角法兰面锁紧螺母,/,/,6.0,/,/,/,/,/,/,/,STD
非金属嵌件六角法兰面锁紧螺母,/,/,4.0,/,/,/,/,/,/,/,STD
球头卡扣,/,/,2.0,/,/,/,/,/,/,/,STD
密封卡扣,/,/,74.0,/,/,/,/,/,/,/,STD
密封卡扣,/,/,16.0,/,/,/,/,/,/,/,STD
塑料螺母,/,/,34.0,/,/,/,/,/,/,/,STD
E型环,/,/,4.0,/,/,/,/,/,/,/,STD
簧片螺母,/,/,4.0,/,/,/,/,/,/,/,STD
A型通孔式嵌装塑料螺母,/,/,6.0,/,/,/,/,/,/,/,STD
前制动软管安装垫圈,/,/,8.0,/,/,/,/,/,/,/,STD
双管管夹,/,/,5.0,/,/,/,/,/,/,/,STD
制动管路三管夹,/,/,2.0,/,/,/,/,/,/,/,STD
四管管夹,/,/,9.0,/,/,/,/,/,/,/,STD
金属卡子,/,/,24.0,/,/,/,/,/,/,/,STD
开尾销,/,/,26.0,/,/,/,/,/,/,/,STD
塑料卡扣,/,/,2.0,/,/,/,/,/,/,/,STD
塑料卡扣,/,/,14.0,/,/,/,/,/,/,/,STD
卡扣,/,/,41.0,/,/,/,/,/,/,/,STD
子母扣,/,/,10.0,/,/,/,/,/,/,/,STD
7/16英制螺栓（25）,/,/,4.0,/,/,/,/,/,/,/,STD
内六角盘头螺钉,/,/,4.0,/,/,/,/,/,/,/,STD
内六角花形盘头螺钉,/,/,19.0,/,/,/,/,/,/,/,STD
十字槽盘头自攻螺钉与平垫圈组合件,/,/,3.0,/,/,/,/,/,/,/,STD
十字槽盘头自攻螺钉和平垫圈组合件,/,/,8.0,/,/,/,/,/,/,/,STD
十字槽盘头自攻钉和平垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,STD
十字槽盘头自攻螺钉和大垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,STD
十字槽盘头自攻螺钉和大垫圈组合件,/,/,4.0,/,/,/,/,/,/,/,STD
内六角花形沉头螺钉,/,/,10.0,/,/,/,/,/,/,/,STD
六角法兰面自攻螺钉,/,/,12.0,/,/,/,/,/,/,/,STD
十字槽盘头自攻螺钉-C型,/,/,2.0,/,/,/,/,/,/,/,STD
十字槽盘头自攻螺钉-C型,/,/,16.0,/,/,/,/,/,/,/,STD
十字槽大半圆头自攻螺钉,/,/,12.0,/,/,/,/,/,/,/,STD
十字槽大半圆头螺钉-C型,/,/,2.0,/,/,/,/,/,/,/,STD
十字槽大半圆头自攻螺钉-C型,/,/,44.0,/,/,/,/,/,/,/,STD
十字槽大半圆头自攻螺钉-C型,/,/,6.0,/,/,/,/,/,/,/,STD
开口型平圆头抽芯铆钉,/,/,10.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍,/,/,2.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍,/,/,2.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍,/,/,3.0,/,/,/,/,/,/,/,STD
B型钢带式弹性软管夹箍,/,/,9.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍-预张开式,/,/,4.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍-预张开式,/,/,1.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍,/,/,2.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍,/,/,9.0,/,/,/,/,/,/,/,STD
B型钢带式弹性软管夹箍,/,/,3.0,/,/,/,/,/,/,/,STD
钢带式弹性软管夹箍-预张开式,/,/,3.0,/,/,/,/,/,/,/,STD
前防撞梁左连接板,C,0.101,1.0,159,78,65,140,365,275,210,P
前防撞梁右连接板,C,0.101,1.0,159,78,65,140,365,275,210,P
前围板前横梁空腔隔断,C,0.027,1.0,158,76,36,100,650,435,160,P
前机舱封板左加强板总成,B,3.699,1.0,896,410,369,5,1330,1140,545,P
前机舱封板右加强板总成,B,3.699,1.0,896,410,369,5,1330,1140,545,P
左门槛内板总成,B,13.148,1.0,2349,364,333,6,2700,1600,590,P
左A柱里板下部总成,B,4.45,1.0,949,567,132,24,1330,1140,730,P
右A柱里板下部总成,B,4.45,1.0,949,567,132,24,1330,1140,730,P
后围板焊接总成,B,5.3,1.0,1263,420,159,14,1600,1140,1150,P
顶盖前横梁焊接总成,B,3.28,1.0,1266,200,56,24,1600,1150,590,P
顶盖后横梁焊接总成,B,4.12,1.0,190,291,130,22,1600,1140,545,P
顶盖第四横梁,B,1.713,1.0,1280,140,52,180,1600,1140,545,P
左前门上铰链总成,C,0.31,2.0,98,66,51,36,400,300,148,P
右前门上铰链总成,C,0.31,2.0,98,66,51,36,400,300,148,P
发动机罩左铰链,C,0.653,1.0,313,165,88,10,650,435,160,P
发动机罩右铰链,C,0.653,1.0,313,165,88,10,650,435,160,P
蓄电池压板总成,C,1.088,1.0,355,255,85,12,650,435,260,P
前风窗流水槽总成,B,9.806,1.0,1523,516,385,6,1700,1140,280,P
大天窗加强环组件,B,6.896,1.0,1273,996,53,24,1600,1150,1200,P
顶盖天窗加强环焊接总成,B,6.725,1.0,1278,876,106,24,1600,1150,1200,P
背门铰链,C,0.337,2.0,77,68,55,36,400,300,148,P
右门槛内板总成,B,12.897,1.0,2349,364,333,6,2700,1600,590,P
前围加强梁总成,B,10.87,1.0,1339,340,291,9,1600,1150,780,P
前围板焊接总成,B,10.34,1.0,1340,574,423,6,1600,1150,1200,P
前围横梁组件,B,1.85,1.0,551,195,111,8,650,435,260,P
车架左前段总成,B,15.009,1.0,1193,620,547,7,2300,1600,780,P
车架右前段总成,B,15.009,1.0,1193,624,442,9,2300,1600,780,P
六角头螺栓和大平垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,STD
六角法兰面螺栓,/,/,41.0,/,/,/,/,/,/,/,STD
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,STD
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,STD
六角头螺栓和大平垫圈组合件,/,/,4.0,/,/,/,/,/,/,/,STD
六角头螺栓和平垫圈组合件,/,/,4.0,/,/,/,/,/,/,/,STD
组合螺栓,/,/,4.0,/,/,/,/,/,/,/,STD
内十二齿花形法兰面螺栓,/,/,12.0,/,/,/,/,/,/,/,STD
六角法兰面螺母,/,/,4.0,/,/,/,/,/,/,/,STD
自穿刺铆钉,/,/,57.0,/,/,/,/,/,/,/,STD
自穿刺铆钉,/,/,42.0,/,/,/,/,/,/,/,STD
发动机总成,A,,1.0,805,600,688,,,,,总装总成自制件
后桥总成,A,,1.0,1775,1040,380,,,,,总装总成自制件
前端模块总成,A,,1.0,1390,515,750,,,,,总装总成自制件
前悬总成,A,,1.0,1673,950,400,,,,,总装总成自制件
仪表板总成,A,,1.0,1708,817,750,,,,,总装总成自制件
左前制动器总成,A,,1.0,620,405,200,,,,,总装总成自制件
右前制动器总成,A,,1.0,620,405,200,,,,,总装总成自制件
前地板总成,A,,1.0,1520,292,1683,,,,,焊装总成自制件
后车体总成,A,,1.0,1993,1506,488,,,,,焊装总成自制件
左侧围总成,A,,1.0,3997,685,1605,,,,,焊装总成自制件
右侧围总成,A,,1.0,3997,685,1605,,,,,焊装总成自制件
发动机罩,A,,1.0,1775,221,989,,,,,焊装总成自制件
背门/行李箱盖,A,,1.0,1741,454,1127,,,,,焊装总成自制件
左前门,A,,1.0,1181,263,1443,,,,,焊装总成自制件
右前门,A,,1.0,1181,263,1443,,,,,焊装总成自制件
左后门,A,,1.0,1335,313,1540,,,,,焊装总成自制件
右后门,A,,1.0,1335,313,1540,,,,,焊装总成自制件
左减震塔,A,,1.0,1005,840,472,,,,,焊装总成自制件
右减震塔,A,,1.0,1005,840,472,,,,,焊装总成自制件
左翼子板,A,2.6,1.0,1070,231,1076,,,,,冲焊自制件
右翼子板,A,2.6,1.0,1070,231,1076,,,,,冲焊自制件
顶盖外板,A,20,1.0,2996,1335,198,,,,,冲焊自制件
前保险杠总成,A,,1.0,1978.35,620,745.412,,,,,涂树自制件
后保险杠总成,A,,1.0,1896.24,800,820.24,,,,,涂树自制件
燃油管单管夹,/,/,3.0,/,/,/,/,/,/,/,/
碳罐控制阀,/,/,1.0,/,/,/,/,/,/,/,/
高压发电机盖板,/,/,1.0,/,/,/,/,/,/,/,/
发动机后悬置支架,/,/,1.0,/,/,/,/,/,/,/,/
消声器密封垫,/,/,1.0,/,/,/,/,/,/,/,/
发动机连接管,/,/,1.0,/,/,/,/,/,/,/,/
四通控制阀总成,/,/,1.0,/,/,/,/,/,/,/,/
发动机燃油管路支架,/,/,1.0,/,/,/,/,/,/,/,/
炭罐脱附管3,/,/,1.0,/,/,/,/,/,/,/,/
炭罐脱附管4,/,/,1.0,/,/,/,/,/,/,/,/
水管支架3,/,/,1.0,/,/,/,/,/,/,/,/
水管支架5,/,/,1.0,/,/,/,/,/,/,/,/
水管支架6,/,/,1.0,/,/,/,/,/,/,/,/
增程控制器进水软管,/,/,1.0,/,/,/,/,/,/,/,/
发动机副水箱通气管,/,/,1.0,/,/,/,/,/,/,/,/
压缩机总成,/,/,1.0,/,/,/,/,/,/,/,/
压缩机支架总成,/,/,1.0,/,/,/,/,/,/,/,/
高压发电机盖板,/,/,1.0,/,/,/,/,/,/,/,/
供油管3,/,/,1.0,/,/,/,/,/,/,/,/
燃油管路支架,/,/,1.0,/,/,/,/,/,/,/,/
空滤器支撑2,/,/,1.0,/,/,/,/,/,/,/,/
炭罐脱附管2,/,/,1.0,/,/,/,/,/,/,/,/
四通比例阀安装支架,/,/,1.0,/,/,/,/,/,/,/,/
水管支架1,/,/,1.0,/,/,/,/,/,/,/,/
前电机进水软管,/,/,1.0,/,/,/,/,/,/,/,/
水泵出水软管,/,/,1.0,/,/,/,/,/,/,/,/
chiller2到四通水管,/,/,1.0,/,/,/,/,/,/,/,/
高温散热器出水管,/,/,1.0,/,/,/,/,/,/,/,/
高温散热器进水管,/,/,1.0,/,/,/,/,/,/,/,/
四通控制阀到chiller水管,/,/,1.0,/,/,/,/,/,/,/,/
电机水泵进水管总成,/,/,1.0,/,/,/,/,/,/,/,/
中冷水泵进水管总成,/,/,1.0,/,/,/,/,/,/,/,/
中冷水泵到中冷器水管总成,/,/,1.0,/,/,/,/,/,/,/,/
发动机暖风回水管,/,/,1.0,/,/,/,/,/,/,/,/
电机水泵到前电驱控制器水管,/,/,1.0,/,/,/,/,/,/,/,/
发动机到暖芯水泵水管总成,/,/,1.0,/,/,/,/,/,/,/,/
暖芯回路电子水泵总成,/,/,1.0,/,/,/,/,/,/,/,/
暖芯水泵到PTC水管,/,/,1.0,/,/,/,/,/,/,/,/
水泵安装支架1,/,/,1.0,/,/,/,/,/,/,/,/
水泵安装支架2,/,/,1.0,/,/,/,/,/,/,/,/
水泵安装支架3,/,/,1.0,/,/,/,/,/,/,/,/
四通阀到暖芯水泵水管,/,/,1.0,/,/,/,/,/,/,/,/
水泵安装支架4,/,/,1.0,/,/,/,/,/,/,/,/
电机水泵总成,/,/,1.0,/,/,/,/,/,/,/,/
电池包水泵总成,/,/,1.0,/,/,/,/,/,/,/,/
中冷水泵总成,/,/,1.0,/,/,/,/,/,/,/,/
前连接轴总成,/,/,1.0,/,/,/,/,/,/,/,/
发动机线束支架,/,/,1.0,/,/,/,/,/,/,/,/
发动机线束支架,/,/,1.0,/,/,/,/,/,/,/,/
变速箱搭铁线束,/,/,1.0,/,/,/,/,/,/,/,/
空调管路安装支架,/,/,1.0,/,/,/,/,/,/,/,/
发电机控制器高压线束总成,/,/,1.0,/,/,/,/,/,/,/,/
发电机控制器高压线束总成支架3,/,/,1.0,/,/,/,/,/,/,/,/
前舱电池包加热PTC-压缩机高压线束总成支架3,/,/,1.0,/,/,/,/,/,/,/,/
发动机线束支架,/,/,1.0,/,/,/,/,/,/,/,/
发动机总成,/,/,1.0,/,/,/,/,/,/,/,/
电驱动单元总成,/,/,1.0,/,/,/,/,/,/,/,/
六角头螺栓和平垫圈组合件,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,9.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,17.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,3.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺母,/,/,9.0,/,/,/,/,/,/,/,/
双头螺柱,/,/,1.0,/,/,/,/,/,/,/,/
六角头螺栓和锥形弹性垫圈组合件,/,/,4.0,/,/,/,/,/,/,/,/
六角头螺栓和弹性垫圈组合件,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,3.0,/,/,/,/,/,/,/,/
六角法兰面螺母,/,/,1.0,/,/,/,/,/,/,/,/
全金属六角法兰面锁紧螺母,/,/,2.0,/,/,/,/,/,/,/,/
隔离管夹,/,/,1.0,/,/,/,/,/,/,/,/
十字槽球头螺栓,/,/,2.0,/,/,/,/,/,/,/,/
弹性销,/,/,2.0,/,/,/,/,/,/,/,/
内六角圆柱头螺钉,/,/,2.0,/,/,/,/,/,/,/,/
钢带式弹性软管夹箍,/,/,1.0,/,/,/,/,/,/,/,/
B型钢带式弹性软管夹箍,/,/,2.0,/,/,/,/,/,/,/,/
钢带式弹性软管夹箍,/,/,7.0,/,/,/,/,/,/,/,/
B型钢带式弹性软管夹箍,/,/,3.0,/,/,/,/,/,/,/,/
钢带式弹性软管夹箍-预张开式,/,/,1.0,/,/,/,/,/,/,/,/
钢带式弹性软管夹箍,/,/,2.0,/,/,/,/,/,/,/,/
卡扣,/,/,2.0,/,/,/,/,/,/,/,/
后电驱控制器包裹,/,/,1.0,/,/,/,/,/,/,/,/
后悬架吊钩,/,/,1.0,/,/,/,/,/,/,/,/
左后驱动轴总成,/,/,1.0,/,/,/,/,/,/,/,/
右后驱动轴总成,/,/,1.0,/,/,/,/,/,/,/,/
连接轴总成,/,/,1.0,/,/,/,/,/,/,/,/
后电机右悬置支架,/,/,1.0,/,/,/,/,/,/,/,/
后电机左悬置支架,/,/,1.0,/,/,/,/,/,/,/,/
后电机后悬置支架,/,/,1.0,/,/,/,/,/,/,/,/
后副车架合件,/,/,1.0,/,/,/,/,/,/,/,/
左后空气弹簧总成,B,3.2,1.0,321,235,209,50,1330,1140,1090,P
右后空气弹簧总成,B,3.2,1.0,321,235,209,50,1330,1140,1090,P
后悬架后下控制臂,/,/,1.0,/,/,/,/,/,/,/,/
后悬架右后下控制臂,/,/,1.0,/,/,/,/,/,/,/,/
后稳定杆总成,/,/,1.0,/,/,/,/,/,/,/,/
后稳定杆接头总成,/,/,2.0,/,/,/,/,/,/,/,/
轮毂轴承密封圈,/,/,2.0,/,/,/,/,/,/,/,/
左后制动钳总成,/,/,1.0,/,/,/,/,/,/,/,/
右后制动钳总成,/,/,1.0,/,/,/,/,/,/,/,/
左轮速传感器总成,C,0.009,1.0,71,41,17,140,550,360,150,P
右轮速传感器总成,C,0.009,1.0,71,41,17,140,550,360,150,P
后电机搭铁线束,/,/,1.0,/,/,/,/,/,/,/,/
左后带支架高度传感器总成,/,/,1.0,/,/,/,/,/,/,/,/
右后带支架高度传感器总成,/,/,1.0,/,/,/,/,/,/,/,/
轮毂轴承总成,/,/,2.0,/,/,/,/,/,/,/,/
左后转向节总成,/,/,1.0,/,/,/,/,/,/,/,/
右后转向节总成,/,/,1.0,/,/,/,/,/,/,/,/
后悬架左后上控制臂,/,/,1.0,/,/,/,/,/,/,/,/
后悬架右后上控制臂,/,/,1.0,/,/,/,/,/,/,/,/
后悬架前上控制臂,/,/,2.0,/,/,/,/,/,/,/,/
后悬架前下控制臂,/,/,2.0,/,/,/,/,/,/,/,/
左后前束连杆,/,/,1.0,/,/,/,/,/,/,/,/
右后前束连杆,/,/,1.0,/,/,/,/,/,/,/,/
后轮转向器总成,/,/,1.0,/,/,/,/,/,/,/,/
后轮转向器合件,/,/,1.0,/,/,/,/,/,/,/,/
后电驱系统合件,/,/,1.0,/,/,/,/,/,/,/,/
后制动盘,/,/,2.0,/,/,/,/,/,/,/,/
左后轮速传感器线束支架,C,0.05,1.0,81,64,35,350,435,325,160,P
右后轮速传感器线束支架,C,0.05,1.0,81,64,35,350,436,326,161,P
六角头螺栓和平垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,/
六角头螺栓和平垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,/
六角头螺栓和平垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,3.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,3.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,6.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
制动盘安装螺钉,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺母,/,/,2.0,/,/,/,/,/,/,/,/
非金属嵌件六角法兰面锁紧螺母,/,/,4.0,/,/,/,/,/,/,/,/
非金属嵌件六角法兰面锁紧螺母,/,/,6.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
支架螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓和带齿垫圈组合件,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
偏心螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
偏心螺栓,/,/,2.0,/,/,/,/,/,/,/,/
带导向六角法兰面螺栓和平垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
带导向六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
转向节螺栓,/,/,8.0,/,/,/,/,/,/,/,/
六角法兰面螺母,/,/,2.0,/,/,/,/,/,/,/,/
轮毂锁紧螺母,/,/,2.0,/,/,/,/,/,/,/,/
非金属嵌件六角法兰面锁紧螺母,/,/,10.0,/,/,/,/,/,/,/,/
大垫圈,/,/,2.0,/,/,/,/,/,/,/,/
偏心垫片,/,/,4.0,/,/,/,/,/,/,/,/
中冷器衬套,C,0.008,1.0,24,23,20,1500,365,275,220,P
隔振垫2,C,0.017,1.0,49,49,16,1000,650,436,260,P
隔振垫3,C,0.02,1.0,46,45,26,1000,650,436,260,P
中冷器固定支架2,C,0.191,1.0,139,65,61,76,435,325,160,P
低温散热器总成,/,/,1.0,/,/,/,/,/,/,/,/
散热器上减振垫,/,/,2.0,/,/,/,/,/,/,/,/
散热器下减振垫,/,/,2.0,/,/,/,/,/,/,/,/
机舱连接板焊接总成,B,6.159,1.0,1318,411,148,10,1550,1140,750,P
LLP横梁左安装支架组件,/,/,1.0,/,/,/,/,/,/,/,/
LLP横梁右安装支架组件,/,/,1.0,/,/,/,/,/,/,/,/
LLP横梁焊接总成,/,/,1.0,/,/,/,/,/,/,/,/
前防撞梁总成,/,/,1.0,/,/,/,/,/,/,/,/
冷凝器总成,/,/,1.0,/,/,/,/,/,/,/,/
高温散热器总成,/,/,1.0,/,/,/,/,/,/,/,/
散热器上支架,C,0.314,1.0,212,149,84,60,650,435,260,P
散热器支架,C,0.142,1.0,121,76,57,60,365,275,210,P
压缩机排出管路总成1,C,0.27,1.0,332,316,100,30,650,435,260,P
压缩机排出管路总成2,/,/,1.0,/,/,/,/,/,/,/,/
散热器下支架,/,0.117,1.0,/,/,/,80,435,325,210,/
散热器上支架,/,0.072,1.0,/,/,/,160,435,325,210,/
散热器支架,C,0.368,1.0,179,178,97,20,435,325,210,P
低温散热器进水管,/,/,1.0,/,/,/,/,/,/,/,/
PTC2进水软管,C,0.095,1.0,200,117,55,100,550,350,255,P
水加热PTC总成,C,2.7,1.0,325,216,78,3,400,300,280,KZQZC
散热器电子风扇总成,/,/,1.0,/,/,/,/,/,/,/,/
散热器上支架,/,/,2.0,/,/,/,/,/,/,/,/
六角头螺栓和平垫圈组合件,/,/,2.0,/,/,/,/,/,/,/,/
六角头螺栓和平垫圈组合件,/,/,6.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,8.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,9.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
卡扣,/,/,2.0,/,/,/,/,/,/,/,/
十字槽盘头自攻螺钉-C型,/,/,2.0,/,/,/,/,/,/,/,/
钢带式弹性软管夹箍,/,/,1.0,/,/,/,/,/,/,/,/
钢带式弹性软管夹箍,/,/,2.0,/,/,/,/,/,/,/,/
前悬架左下控制臂总成,/,/,1.0,/,/,/,/,/,/,/,/
前悬架右下控制臂总成,/,/,1.0,/,/,/,/,/,/,/,/
前悬架下摆臂球头座,/,/,2.0,/,/,/,/,/,/,/,/
前稳定杆总成,/,/,1.0,/,/,/,/,/,/,/,/
转向器隔热板,/,/,1.0,/,/,/,/,/,/,/,/
转向器带横拉杆总成,/,/,1.0,/,/,/,/,/,/,/,/
前副车架总成,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,3.0,/,/,/,/,/,/,/,/
非金属嵌件六角法兰面锁紧螺母,/,/,4.0,/,/,/,/,/,/,/,/
非金属嵌件六角法兰面锁紧螺母,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓和带齿垫圈组合件,/,/,4.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,3.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
内十二齿花形法兰面螺栓,/,/,4.0,/,/,/,/,/,/,/,/
六角加大法兰面螺母,/,/,2.0,/,/,/,/,/,/,/,/
大垫圈,/,/,2.0,/,/,/,/,/,/,/,/
点光源,/,/,1.0,/,/,/,/,/,/,/,/
转向管柱带中间轴总成,/,/,1.0,/,/,/,/,/,/,/,/
空气质量传感器,/,/,1.0,/,/,/,/,/,/,/,/
手套箱总成,/,/,1.0,/,/,/,/,/,/,/,/
手套箱总成,/,/,1.0,/,/,/,/,/,/,/,/
手套箱总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧吹脚风管总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧吹脚风管总成,/,/,1.0,/,/,/,/,/,/,/,/
转向柱上护罩总成,/,/,1.0,/,/,/,/,/,/,/,/
转向柱上护罩总成,/,/,1.0,/,/,/,/,/,/,/,/
转向柱上护罩总成,/,/,1.0,/,/,/,/,/,/,/,/
转向柱上护罩总成,/,/,1.0,/,/,/,/,/,/,/,/
转向柱下护罩总成,/,/,1.0,/,/,/,/,/,/,/,/
转向柱下护罩总成,/,/,1.0,/,/,/,/,/,/,/,/
转向柱下护罩总成,/,/,1.0,/,/,/,/,/,/,/,/
高音扬声器,/,/,2.0,/,/,/,/,/,/,/,/
组合仪表显示屏,/,/,1.0,/,/,/,/,/,/,/,/
仪表横梁,/,/,1.0,/,/,/,/,/,/,/,/
左侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧装饰面板总成,/,/,1.0,/,/,/,/,/,/,/,/
左侧出风口总成,/,/,1.0,/,/,/,/,/,/,/,/
右侧出风口总成,/,/,1.0,/,/,/,/,/,/,/,/
中央吹面风道总成,/,/,1.0,/,/,/,/,/,/,/,/
组合仪表显示屏盖板,/,/,1.0,/,/,/,/,/,/,/,/
组合仪表显示屏盖板,/,/,1.0,/,/,/,/,/,/,/,/
中央出风口总成,/,/,1.0,/,/,/,/,/,/,/,/
天线电缆,/,/,1.0,/,/,/,/,/,/,/,/
内置5G天线,/,/,1.0,/,/,/,/,/,/,/,/
中置扬声器,/,/,1.0,/,/,/,/,/,/,/,/
副驾驶位安全气囊模块,/,/,1.0,/,/,/,/,/,/,/,/
车身控制器支架,/,/,1.0,/,/,/,/,/,/,/,/
自动空调控制器,/,/,1.0,/,/,/,/,/,/,/,/
转向柱开关总成,/,/,1.0,/,/,/,/,/,/,/,/
仪表板本体总成,/,/,2.0,/,/,/,/,/,/,/,/
仪表板本体总成,/,/,1.0,/,/,/,/,/,/,/,/
屏幕上盖板总成,/,/,1.0,/,/,/,/,/,/,/,/
屏幕上盖板总成,/,/,1.0,/,/,/,/,/,/,/,/
手套箱总成,/,/,1.0,/,/,/,/,/,/,/,/
左除霜风管内侧总成,/,/,1.0,/,/,/,/,/,/,/,/
右除霜风管内侧总成,/,/,1.0,/,/,/,/,/,/,/,/
仪表板左上盖板总成,/,/,1.0,/,/,/,/,/,/,/,/
仪表板左上盖板总成,/,/,1.0,/,/,/,/,/,/,/,/
空调对接过渡风道,/,/,1.0,/,/,/,/,/,/,/,/
PM2.5传感器,/,/,1.0,/,/,/,/,/,/,/,/
负离子发生器,/,/,1.0,/,/,/,/,/,/,/,/
屏幕上盖板装饰件,/,/,1.0,/,/,/,/,/,/,/,/
屏幕上盖板装饰件,/,/,1.0,/,/,/,/,/,/,/,/
喇叭罩总成,/,/,1.0,/,/,/,/,/,/,/,/
喇叭罩总成,/,/,1.0,/,/,/,/,/,/,/,/
高音喇叭罩总成,/,/,2.0,/,/,/,/,/,/,/,/
高音喇叭罩总成,/,/,2.0,/,/,/,/,/,/,/,/
车身控制器,/,/,1.0,/,/,/,/,/,/,/,/
网关,/,/,1.0,/,/,/,/,/,/,/,/
T-BOX,/,/,1.0,/,/,/,/,/,/,/,/
车载信息娱乐系统合件,/,/,1.0,/,/,/,/,/,/,/,/
仪表线束总成合件,/,/,1.0,/,/,/,/,/,/,/,/
双联屏,/,/,1.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,5.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
六角法兰面螺栓,/,/,2.0,/,/,/,/,/,/,/,/
