零件名称,零件重量,零件尺寸L,零件尺寸W,零件尺寸H,零件分类,来料包装L,来料包装W,来料包装H,是否需防锈,CKD包装类型,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
右前轮眉装饰件总成,,1052.0,575.0,69.0,DKD件,1330.0,1140.0,1140.0,,天地盖纸箱,,,,,,,,
左后门框上装饰件总成,0.232,986.0,451.0,198.0,内外饰板类,1330.0,1140.0,545.0,,天地盖纸箱,,,,,,,,
右后门框上装饰件总成,0.232,986.0,451.0,198.0,内外饰板类,1330.0,1140.0,545.0,,天地盖纸箱,,,,,,,,
右前轮眉装饰件总成,,1052.0,575.0,69.0,DKD件,1330.0,1140.0,1140.0,,天地盖纸箱,,,,,,,,
右CCB 连接支架,0.205,132.0,62.0,23.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
左CCB 连接支架,0.205,132.0,62.0,23.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
右后吹足管道中段总成,2.88,323.0,223.0,36.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
左后吹足管道中段总成,0.195,323.0,223.0,36.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
右后门B柱装饰板总成,0.211,515.0,115.0,37.0,内外饰板类,650.0,435.0,260.0,,纸箱,,,,,,,,
副仪表板小储物盒,0.3,295.0,210.0,56.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
左后门B柱装饰板总成,0.211,515.0,115.0,37.0,内外饰板类,650.0,435.0,260.0,,纸箱,,,,,,,,
内后视镜后装饰罩,,171.0,145.0,115.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
EPB控制器,0.2,146.0,117.0,35.0,小尺寸件（来料塑料箱）,600.0,400.0,150.0,,纸箱,,,,,,,,
前机舱封板分总成（左）,,887.0,432.0,154.0,焊装件,1330.0,1140.0,810.0,是,,,,,,,,,
低音扬声器,0.191,203.0,200.0,84.0,小尺寸件（来料塑料箱）,730.0,365.0,210.0,,纸箱,,,,,,,,
后门限位器总成,0.194,320.0,91.0,54.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
前门限位器总成,0.194,332.0,91.0,56.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
中护板总成,0.185,471.0,239.0,193.0,小尺寸件（来料塑料箱）,650.0,435.0,330.0,,纸箱,,,,,,,,
右后门轮眉防污条总成,0.185,597.0,23.0,29.0,小尺寸件（来料塑料箱）,730.0,365.0,210.0,,纸箱,,,,,,,,
左后门轮眉防污条总成,0.185,597.0,23.0,29.0,小尺寸件（来料塑料箱）,730.0,365.0,210.0,,纸箱,,,,,,,,
后吹面风道后部,0.19,225.0,198.0,227.0,小尺寸件（来料塑料箱）,650.0,435.0,330.0,,纸箱,,,,,,,,
前机舱右封板分总成,,887.0,426.0,154.0,焊装件,1330.0,1140.0,810.0,是,,,,,,,,,
前电机隔热板,0.18,,,,,600.0,400.0,230.0,,纸箱,,,,,,,,
低音扬声器,0.172,179.0,175.0,76.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
右前带支架高度传感器总成,,237.0,98.0,56.0,DKD件,550.0,365.0,160.0,,纸箱,,,,,,,,
左前带支架高度传感器总成,,237.0,98.0,56.0,DKD件,550.0,365.0,160.0,,纸箱,,,,,,,,
清洁空气导管,0.17,500.0,100.0,50.0,小尺寸件（来料塑料箱）,800.0,600.0,280.0,,纸箱,,,,,,,,
左后组合灯固定侧侧板,,160.0,110.0,135.0,DKD件,650.0,435.0,210.0,,纸箱,,,,,,,,
右后组合灯固定侧侧板,,140.0,105.0,75.0,DKD件,650.0,435.0,210.0,,纸箱,,,,,,,,
空气滤清器进气管总成,,327.0,218.0,164.0,DKD件,800.0,600.0,280.0,,纸箱,,,,,,,,
右后门C柱装饰板总成,0.168,433.0,193.0,33.0,内外饰板类,650.0,435.0,260.0,,纸箱,,,,,,,,
左后门C柱装饰板总成,0.168,433.0,193.0,33.0,内外饰板类,650.0,435.0,260.0,,纸箱,,,,,,,,
行李箱地板外隔音垫,0.3,1083.0,1066.0,167.0,大尺寸件（金属箱/围板箱来料）,1600.0,1120.0,1020.0,,纸箱,,,,,,,,
前消声器总成,,165.0,608.0,2092.0,DKD件,2300.0,1400.0,2300.0,,纸箱,,,,,,,,
顶盖天窗加强环组件,,1883.0,1097.0,44.0,焊装件,1600.0,1150.0,2300.0,是,,,,,,,,,
充电指示灯,0.148,182.0,37.0,123.0,灯类,550.0,365.0,210.0,,纸箱,,,,,,,,
燃油箱维修口盖,0.146,245.0,245.0,19.0,小尺寸件（来料塑料箱）,600.0,400.0,280.0,,纸箱,,,,,,,,
发动机罩后密封条总成,,1175.0,18.0,34.0,DKD件,1400.0,400.0,230.0,,纸箱,,,,,,,,
充电口盖闭锁器总成,0.139,108.0,80.0,37.0,小尺寸件（来料塑料箱）,650.0,435.0,160.0,,纸箱,,,,,,,,
左前门窗台内密封条总成,0.137,800.0,36.0,32.0,密封条类,1000.0,400.0,280.0,,纸箱,,,,,,,,
右前门窗台内密封条总成,0.137,800.0,36.0,32.0,密封条类,1000.0,400.0,280.0,,纸箱,,,,,,,,
锁芯及机械钥匙合件,0.1,50.0,45.0,30.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
燃油加油管软管,0.135,199.0,47.0,350.0,小尺寸件（来料塑料箱）,620.0,420.0,300.0,,纸箱,,,,,,,,
机舱右前装饰板总成 (视图),,600.0,100.0,600.0,DKD件,1920.0,800.0,1200.0,,天地盖纸箱,,,,,,,,
右后门窗台内密封条总成,0.132,770.0,32.0,26.0,密封条类,1000.0,400.0,280.0,,纸箱,,,,,,,,
左后门窗台内密封条总成,0.132,770.0,32.0,26.0,密封条类,1000.0,400.0,280.0,,纸箱,,,,,,,,
内后视镜总成,,264.0,116.0,69.0,DKD件,650.0,435.0,330.0,,纸箱,,,,,,,,
前防撞梁连接板（右）,,275.0,155.0,25.0,焊装件,435.0,325.0,210.0,是,,,,,,,,,
后底护板安装支架组件,,220.0,85.0,36.0,DKD件,435.0,325.0,210.0,,纸箱,,,,,,,,
副仪表板组合开关,0.12,156.0,54.0,65.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
USB充电器,0.12,36.0,82.0,95.0,小尺寸件（来料塑料箱）,400.0,300.0,280.0,,纸箱,,,,,,,,
炭罐脱附管3,0.1,675.0,433.0,330.0,小尺寸件（来料塑料箱）,1100.0,550.0,330.0,,纸箱,,,,,,,,
前防撞梁连接板（左）,,275.0,155.0,25.0,焊装件,435.0,325.0,210.0,是,,,,,,,,,
门槛连接梁总成,,1039.0,242.0,77.0,DKD件,1600.0,1150.0,590.0,,木箱,,,,,,,,
前排左前拉手支架组件,0.116（±8%）,108.0,102.0,50.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
前排右前拉手支架组件,0.116,108.0,102.0,50.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
右后侧围安装支架,0.115,323.0,115.0,53.0,小尺寸件（来料塑料箱）,550.0,360.0,210.0,,纸箱,,,,,,,,
加液管总成,0.1136,0.0,0.0,0.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
空气滤清器总成,,395.0,281.0,248.0,DKD件,1200.0,1000.0,950.0,,天地盖纸箱,,,,,,,,
中部下防护板,,1027.0,643.0,40.0,DKD件,1140.0,790.0,760.0,,纸箱,,,,,,,,
车门锁扣总成,0.106,62.0,47.0,35.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
发动机罩锁拉丝,0.105,2210.0,15.0,15.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
燃油蒸汽管总成,0.102,500.0,200.0,100.0,小尺寸件（来料塑料箱）,600.0,400.0,220.0,,纸箱,,,,,,,,
蓄水瓶衬套,0.005,30.0,20.0,10.0,小尺寸件（来料塑料箱）,600.0,400.0,230.0,,纸箱,,,,,,,,
四通接头,0.095,66.0,37.0,35.0,小尺寸件（来料塑料箱）,365.0,275.0,160.0,,纸箱,,,,,,,,
天线电缆,0.096,450.0,120.0,15.0,小尺寸件（来料塑料箱）,550.0,365.0,160.0,,纸箱,,,,,,,,
前排右后拉手支架组件,0.094,102.0,90.0,40.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
前排左后拉手支架组件,0.094（±10%）,102.0,90.0,40.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
右后门玻璃后导轨,0.084,299.0,68.0,64.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
左后门玻璃后导轨,0.09,299.0,68.0,64.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
前部消音器隔热板,,669.0,534.0,148.0,DKD件,1330.0,1140.0,730.0,,纸箱,,,,,,,,
油箱泄漏诊断模块支架,0.066,70.0,37.0,38.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
发动机罩前密封条总成,,1937.0,23.0,17.0,DKD件,1100.0,550.0,330.0,,纸箱,,,,,,,,
前风窗玻璃右装饰条总成,,853.0,30.0,41.0,DKD件,900.0,400.0,230.0,,纸箱,,,,,,,,
制动管路4号总成,0.082,560.0,270.0,105.0,小尺寸件（来料塑料箱）,730.0,365.0,210.0,,纸箱,,,,,,,,
前风窗玻璃左装饰条总成,,853.0,30.0,41.0,DKD件,900.0,400.0,230.0,,纸箱,,,,,,,,
风窗流水槽盖板左密封件,,310.0,100.0,150.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
扶手箱胶垫,0.078,156.0,119.0,14.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
风窗流水槽盖板右密封件,,310.0,100.0,150.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
PTC1到暖芯水管,,500.0,160.0,160.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
高温散热器进水管,,260.0,200.0,100.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
空气过滤器,0.061,98.0,72.0,111.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
电机副水箱通气管,0.061,277.0,117.0,157.0,小尺寸件（来料塑料箱）,600.0,400.0,280.0,,纸箱,,,,,,,,
后组合灯移动侧右侧板,0.06,140.0,105.0,75.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
后组合灯移动侧左侧板,0.06,140.0,105.0,75.0,小尺寸件（来料塑料箱）,650.0,435.0,210.0,,纸箱,,,,,,,,
USB盖板,0.06,232.0,84.0,34.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
油箱盖总成,0.06,221.0,75.0,75.0,来料纸箱件,650.0,240.0,150.0,,纸箱,,,,,,,,
制动管路5号总成,0.06,420.0,226.0,57.0,小尺寸件（来料塑料箱）,730.0,365.0,210.0,,纸箱,,,,,,,,
燃油管路支架,0.06,125.0,45.0,22.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
前暖芯出水管,,590.0,120.0,90.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
四通到发动机软管,,250.0,120.0,240.0,DKD件,620.0,420.0,290.0,,纸箱,,,,,,,,
炭罐脱附管1,0.055,500.0,100.0,100.0,小尺寸件（来料塑料箱）,600.0,400.0,220.0,,纸箱,,,,,,,,
油箱泄漏诊断模块安装支架Ⅰ组件,0.06（±10%）,70.0,85.0,29.0,小尺寸件（来料塑料箱）,365.0,275.0,210.0,,纸箱,,,,,,,,
制动管路6号总成,0.052,375.0,229.0,140.0,小尺寸件（来料塑料箱）,730.0,365.0,210.0,,纸箱,,,,,,,,
反光背心,0.05,620.0,600.0,1.0,来料纸箱件,580.0,240.0,350.0,,纸箱,,,,,,,,
